prod,symbol,date
a,a2105,2020-12-14
ag,ag2106,2020-12-31
al,al2102,2020-12-21
AP,AP105,2020-12-14
au,au2106,2020-12-01
b,b2102,2020-12-01
bb,bb2101,2020-12-15
bc,bc2103,2020-12-01
bu,bu2106,2020-12-01
c,c2105,2020-12-01
CF,CF105,2020-12-03
CJ,CJ105,2020-12-15
cs,cs2105,2020-12-04
cu,cu2102,2020-12-15
CY,CY105,2020-12-07
eb,eb2102,2020-12-22
eg,eg2105,2020-12-03
fb,fb2102,2020-12-31
FG,FG105,2020-12-10
fu,fu2105,2020-12-03
hc,hc2105,2020-12-07
i,i2105,2020-12-04
IC,IC2101,2020-12-18
IF,IF2101,2020-12-18
IH,IH2101,2020-12-17
j,j2105,2020-12-10
jd,jd2105,2020-12-07
jm,jm2105,2020-12-16
JR,JR105,2021-01-04
l,l2105,2020-12-10
LR,LR101,2020-12-01
lu,lu2104,2020-12-28
m,m2105,2020-12-01
MA,MA105,2020-12-10
ni,ni2103,2020-12-22
nr,nr2103,2020-12-22
OI,OI105,2020-12-04
p,p2105,2020-12-07
pb,pb2102,2020-12-22
PF,PF105,2020-12-01
pg,pg2102,2020-12-17
PM,PM107,2020-12-09
pp,pp2105,2020-12-11
rb,rb2105,2020-12-03
RI,RI101,2020-12-01
RM,RM105,2020-12-01
rr,rr2103,2020-12-30
RS,RS107,2020-12-01
ru,ru2105,2020-12-01
SA,SA105,2020-12-17
sc,sc2103,2021-01-05
SF,SF105,2020-12-14
SM,SM105,2020-12-10
sn,sn2103,2020-12-28
sp,sp2103,2020-12-01
SR,SR105,2020-12-01
ss,ss2103,2020-12-23
T,T2103,2020-12-01
TA,TA105,2020-12-01
TF,TF2103,2020-12-01
TS,TS2103,2020-12-01
UR,UR105,2020-12-10
v,v2105,2020-12-14
WH,WH101,2020-12-01
wr,wr2105,2020-12-10
y,y2105,2020-12-01
ZC,ZC105,2020-12-15
zn,zn2102,2020-12-18
