Date,Holiday,Tag
2021-01-01,元旦,休假
2021-01-02,十九,休假
2021-01-03,二十,休假
2021-01-09,廿六,休假
2021-01-10,廿七,休假
2021-01-16,初四,休假
2021-01-17,初五,休假
2021-01-23,十一,休假
2021-01-24,十二,休假
2021-01-30,十八,休假
2021-01-31,十九,休假
2021-02-06,廿五,休假
2021-02-07,廿六,补班
2021-02-11,除夕,休假
2021-02-12,春节,休假
2021-02-13,初二,休假
2021-02-14,情人节,休假
2021-02-15,初四,休假
2021-02-16,初五,休假
2021-02-17,初六,休假
2021-02-20,初九,补班
2021-02-21,初十,补班
2021-02-27,十六,补班
2021-02-28,十七,补班
2021-03-06,廿三,补班
2021-03-07,廿四,补班
2021-03-13,二月,补班
2021-03-14,龙抬头,补班
2021-03-20,春分,补班
2021-03-21,初九,补班
2021-03-27,十五,补班
2021-03-28,十六,补班
2021-04-03,廿二,休假
2021-04-04,清明,休假
2021-04-05,廿四,休假
2021-04-10,廿九,休假
2021-04-11,三十,休假
2021-04-17,初六,休假
2021-04-18,初七,休假
2021-04-24,十三,休假
2021-04-25,十四,补班
2021-05-01,劳动节,休假
2021-05-02,廿一,休假
2021-05-03,廿二,休假
2021-05-04,青年节,休假
2021-05-05,立夏,休假
2021-05-08,廿七,补班
2021-05-09,母亲节,补班
2021-05-15,初四,补班
2021-05-16,初五,补班
2021-05-22,十一,补班
2021-05-23,十二,补班
2021-05-29,十八,补班
2021-05-30,十九,补班
2021-06-05,环境日,补班
2021-06-06,廿六,补班
2021-06-12,初三,休假
2021-06-13,初四,休假
2021-06-14,端午节,休假
2021-06-19,初十,休假
2021-06-20,父亲节,休假
2021-06-26,禁毒日,休假
2021-06-27,十八,休假
2021-07-03,廿四,休假
2021-07-04,廿五,休假
2021-07-10,六月,休假
2021-07-11,初二,休假
2021-07-17,初八,休假
2021-07-18,初九,休假
2021-07-24,十五,休假
2021-07-25,十六,休假
2021-07-31,廿二,休假
2021-08-01,建军节,休假
2021-08-07,立秋,休假
2021-08-08,七月,休假
2021-08-14,七夕节,休假
2021-08-15,初八,休假
2021-08-21,十四,休假
2021-08-22,中元节,休假
2021-08-28,廿一,休假
2021-08-29,廿二,休假
2021-09-04,廿八,休假
2021-09-05,廿九,休假
2021-09-11,初五,休假
2021-09-12,初六,休假
2021-09-18,十二,补班
2021-09-19,十三,休假
2021-09-20,十四,休假
2021-09-21,中秋节,休假
2021-09-25,十九,休假
2021-09-26,二十,补班
2021-10-01,国庆节,休假
2021-10-02,廿六,休假
2021-10-03,廿七,休假
2021-10-04,廿八,休假
2021-10-05,廿九,休假
2021-10-06,九月,休假
2021-10-07,初二,休假
2021-10-09,初四,补班
2021-10-10,初五,补班
2021-10-16,粮食日,补班
2021-10-17,十二,补班
2021-10-23,霜降,补班
2021-10-24,十九,补班
2021-10-30,廿五,补班
2021-10-31,万圣节,补班
2021-11-06,初二,补班
2021-11-07,立冬,补班
2021-11-13,初九,补班
2021-11-14,初十,补班
2021-11-20,十六,补班
2021-11-21,十七,补班
2021-11-27,廿三,补班
2021-11-28,廿四,补班
2021-12-04,十一月,补班
2021-12-05,初二,补班
2021-12-11,初八,补班
2021-12-12,初九,补班
2021-12-18,十五,补班
2021-12-19,十六,补班
2021-12-25,圣诞节,补班
2021-12-26,廿三,补班
